timestamp,timestamp_16,position_lat,position_long,distance,enhanced_altitude,altitude,enhanced_speed,speed,heart_rate,cadence,fractional_cadence,temperatureserial_number,time_created,manufacturer,garmin_product,number,unkown_6,type,compressed_calibrated_accel_x,compressed_calibrated_accel_y,compressed_calibrated_accel_z
,,,,,,,,,,,,,2019-11-29 03:51:38,garmin,9999,None,,activity,,,
,,,,,,,,,,,,,,,,,,,,,
2019-11-28 21:51:38-06:00,,,,,,,,,,,,,,,,,,,,,
2019-11-28 21:51:38-06:00,,,,,,,,,,,,,,garmin,9999,,,,,,
2019-11-28 21:51:38-06:00,,,,,,,,,,,,,,garmin,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
2019-11-28 21:51:38-06:00,,0.0,0.0,0.0,-18.0,-18.0,0.0,0.0,,,,,,,,,,,,,
2019-11-28 21:51:56-06:00,,38.85538495145738,-94.7996439691633,4325.361599999999,5157.0,5157.0,11.3544,11.3544,,,,,,,,,,,,,
2019-11-28 21:51:56-06:00,,,,,,,,,,,,,,,,,,,"(253, 259, 283, 243, 251, 320, 269, 78, 5, 105, 171, 219, 285, 272, 264, 252, 259, 313, 307, 347, 414, 393, 373, 413, 282)","(-64, -111, -116, -130, -205, -83, 21, -233, -309, -170, -204, -273, -222, -163, -102, -94, -97, -49, -77, -88, -94, -263, -297, -301, -342)","(900, 914, 932, 1019, 1080, 1076, 1099, 1140, 1153, 1108, 1117, 1074, 913, 854, 864, 872, 880, 930, 980, 1007, 1041, 1049, 1005, 1031, 982)"
2019-11-28 21:51:57-06:00,,38.85535913519561,-94.79965838603675,4325.36512,5156.8,5156.8,11.8224,11.8224,,,,,,,,,,,,,
2019-11-28 21:51:57-06:00,,,,,,,,,,,,,,,,,,,"(288, 266, 191, 225, 247, 315, 312, 372, 580, 304, 434, 221, 122, 29, -130, -146, 39, 269, 834, -42, -569, -739, -649, -710, -576)","(-287, -214, -120, -92, -93, -107, -130, -244, -779, -299, -275, -267, -409, -118, -130, -182, -357, -455, -56, -202, -414, -8, -34, -355, -834)","(973, 994, 909, 882, 853, 846, 859, 938, 611, 962, 1015, 1159, 1228, 1300, 1125, 1031, 886, 1185, 1446, 729, 310, 234, 153, 335, 772)"
2019-11-28 21:51:58-06:00,,,,,,,,,,,,,,,,,,,"(-704, -680, -744, -997, -885, -681, -715, -433, -336, -627, -544, -832, -946, -922, -1057, -1225, -942, -681, -449, -334, -141, -89, 296, 397, -446)","(-948, -1445, -638, -820, -546, -332, -315, -268, -349, -507, -325, -441, -633, -567, -340, -441, -837, -651, -798, -1046, -1106, -1177, -1081, -954, -1246)","(586, 883, 761, 501, 428, 472, 444, 462, 516, 456, 463, 536, 586, 543, 897, 300, 285, 327, 649, 777, 639, 239, -97, -221, -462)"
2019-11-28 21:51:59-06:00,,38.855308843776584,-94.79968998581171,4325.37216,5156.8,5156.8,12.427200000000001,12.427200000000001,,,,,,,,,,,,,
2019-11-28 21:51:59-06:00,,,,,,,,,,,,,,,,,,,"(-1754, -2019, -2657, -1862, -824, -373, -1386, -1074, -922, -78, -47, 146, -296, 21, 297, 35, -592, -690, -1376, -1138, -709, -143, -643, -1276, -1657)","(-2168, -1577, -452, 569, 745, 559, -391, -906, -1683, -1968, -1221, -1550, -665, -146, -168, -574, -1383, -1622, -1600, -430, 328, 669, 73, -815, -1883)","(304, -225, 59, 365, 470, 171, -443, -742, -850, -2178, -995, -824, -117, 222, -288, -426, -826, -849, 230, -34, 79, 382, 172, -187, -642)"
2019-11-28 21:52:00-06:00,,38.85529585182667,-94.79971722699702,4325.37536,5156.8,5156.8,12.0924,12.0924,,,,,,,,,,,,,
2019-11-28 21:52:00-06:00,,,,,,,,,,,,,,,,,,,"(-467, 83, 443, 324, 67, 244, 374, -127, 515, 176, -961, -1266, -705, -725, -1072, -1414, -1337, 837, 453, 537, 292, 215, 424, 378, -1094)","(-1781, -1450, -1093, -623, -248, -125, -309, -1512, -2861, -2073, -1111, -706, 584, 863, -68, -1207, -2965, -3108, -1414, -923, -329, 18, -185, -348, -2551)","(-485, -575, -375, -73, 10, -321, -301, 188, 26, 631, 334, 205, 477, -1, 571, 892, -149, 94, -130, -569, -127, -123, -401, -443, -71)"
2019-11-28 21:52:01-06:00,,,,,,,,,,,,,,,,,,,"(-353, -883, -1326, -1020, -291, -739, -1299, -1400, -1582, 636, 108, 607, 263, 311, 316, -362, -616, -662, -1475, -1272, -590, -713, -1146, -1638, -1166)","(-2278, -1512, -382, 103, 1149, 522, -545, -1144, -2226, -2051, -1218, -736, -434, -310, -506, -1381, -2609, -1901, -300, -192, 1326, 555, -675, -1691, -2696)","(305, 744, 51, 116, 339, 187, 263, -225, -1345, -472, -282, -199, 135, -250, -381, 81, -96, 1392, 575, 400, 328, -9, 418, -268, -854)"
